semgrep semgrep
govet govet
sonarqube sonarqube
bearer bearer
sonatype packagesreport
staticcheck staticcheck
codescene codescene
gofmt gofmt
goimports goimports
golint golint
errcheck errcheck
codeac revive
scanmycode_ce(betterscan.io) betterscan.io
deadcode deadcode
gocritic gocritic
gosec gosec
ineffassign ineffassign
misspell misspell
aligncheck aligncheck
kiuwan kiuwan
svace svace
unibeautify gofmt
bodyclose bodyclose
dupl dupl
shisho shisho
structcheck structcheck
todocheck todocheck
unconvert unconvert
goconst goconst
gokart gokart
gotype gotype
lll lll
maligned maligned
nargs nargs
snykcode ai
unparam unparam
applicationinspector applicationinspector
codeintelligence codeintelligence
codefactor codefactor
dingohunter dingohunter
dogsled dogsled
errwrap errwrap
goconsistent goconsistent
gocyclo gocyclo
gofumpt gofumpt
goone goone
goroutineinspect goroutineinspect
nakedret nakedret
prealloc prealloc
revive revive
safesql safesql
sigrid sigrid
sqlvet sqlvet
structslop structslop
varcheck varcheck
wsl wsl
gochecknoglobals gochecknoglobals
interfacer interfacer
gosimple gosimple
unused unused
asasalint asasalint
asciicheck asciicheck
bidichk bidichk
containedctx containedctx
contextcheck contextcheck
cyclop cyclop
decorder decorder
depguard depguard
dupword dupword
durationcheck durationcheck
errchkjson errchkjson
errname errname
errorlint errorlint
execinquery execinquery
exhaustive exhaustive
exhaustivestruct exhaustivestruct
exhaustruct exhaustruct
exportloopref exportloopref
forbidigo forbidigo
forcetypeassert forcetypeassert
funlen funlen
gci gci
ginkgolinter ginkgolinter
gocheckcompilerdirectives gocheckcompilerdirectives
gochecksumtype gochecksumtype
gocognit gocognit
godot godot
godox godox
goerr113 goerr113
goheader goheader
gomnd gomnd
gomoddirectives gomoddirectives
gomodguard gomodguard
goprintffuncname goprintffuncname
gosmopolitan gosmopolitan
grouper grouper
ifshort ifshort
importas importas
inamedparam inamedparam
interfacebloat interfacebloat
ireturn ireturn
loggercheck loggercheck
maintidx maintidx
makezero makezero
mirror mirror
musttag musttag
nestif nestif
nilerr nilerr
nilnil nilnil
nlreturn nlreturn
noctx noctx
nolintlint nolintlint
nonamedreturns nonamedreturns
nosnakecase nosnakecase
nosprintfhostport nosprintfhostport
paralleltest paralleltest
perfsprint perfsprint
predeclared predeclared
promlinter promlinter
protogetter protogetter
reassign reassign
