file;;row;;col;;error;;analyzer
internal/display/bufwindow.go;;166;;10;;composites: github.com/zyedidia/micro/v2/internal/buffer.Loc struct literal uses unkeyed fields;;(govet)
internal/display/infowindow.go;;72;;9;;composites: github.com/zyedidia/micro/v2/internal/buffer.Loc struct literal uses unkeyed fields;;(govet)
internal/display/infowindow.go;;90;;65;;composites: github.com/zyedidia/micro/v2/internal/buffer.Loc struct literal uses unkeyed fields;;(govet)
internal/lua/lua.go;;437;;43;;SA1019: filepath.HasPrefix has been deprecated since Go 1.0 because it shouldn't be used: HasPrefix does not respect path boundaries and does not ignore case when required.;;(staticcheck)
pkg/highlight/highlighter.go;;54;;6;;func `combineLineMatch` is unused;;(unused)
internal/buffer/backup.go;;43;;13;;Error return value of `b.Backup` is not checked;;(errcheck)
internal/buffer/backup.go;;77;;11;;Error return value of `os.Mkdir` is not checked;;(errcheck)
internal/buffer/buffer.go;;340;;27;;Error return value of `config.InitLocalSettings` is not checked;;(errcheck)
internal/buffer/buffer.go;;378;;18;;Error return value of `b.UpdateModTime` is not checked;;(errcheck)
internal/buffer/buffer.go;;394;;26;;Error return value of `config.InitLocalSettings` is not checked;;(errcheck)
internal/buffer/buffer.go;;397;;11;;Error return value of `os.Mkdir` is not checked;;(errcheck)
internal/buffer/buffer.go;;419;;12;;Error return value is not checked;;(errcheck)
internal/buffer/buffer.go;;459;;14;;Error return value of `b.Serialize` is not checked;;(errcheck)
internal/buffer/buffer.go;;557;;11;;Error return value is not checked;;(errcheck)
internal/buffer/buffer.go;;624;;10;;Error return value is not checked;;(errcheck)
internal/buffer/buffer_test.go;;23;;27;;Error return value of `config.InitGlobalSettings` is not checked;;(errcheck)
internal/buffer/cursor.go;;135;;24;;Error return value of `clipboard.WriteMulti` is not checked;;(errcheck)
internal/buffer/save.go;;46;;20;;Error return value of `cmd.Process.Kill` is not checked;;(errcheck)
internal/buffer/settings.go;;32;;27;;Error return value of `config.InitLocalSettings` is not checked;;(errcheck)
internal/buffer/settings.go;;63;;14;;Error return value of `pl.Load` is not checked;;(errcheck)
internal/buffer/buffer.go;;33;;7;;const `backupTime` is unused;;(unused)
internal/buffer/buffer.go;;89;;2;;field `toStdout` is unused;;(unused)
internal/buffer/line_array.go;;288;;22;;func `(*LineArray).deleteByte` is unused;;(unused)
internal/buffer/backup.go;;95;;10;;copylocks: range var l copies lock: github.com/zyedidia/micro/v2/internal/buffer.Line contains sync.Mutex;;(govet)
internal/buffer/buffer.go;;656;;10;;copylocks: range var l copies lock: github.com/zyedidia/micro/v2/internal/buffer.Line contains sync.Mutex;;(govet)
internal/buffer/line_array.go;;91;;9;;copylocks: range var c copies lock: github.com/zyedidia/micro/v2/internal/buffer.Line contains sync.Mutex;;(govet)
internal/buffer/line_array.go;;92;;16;;copylocks: assignment copies lock value to slice[l+i]: github.com/zyedidia/micro/v2/internal/buffer.Line contains sync.Mutex;;(govet)
internal/buffer/line_array.go;;178;;9;;copylocks: range var l copies lock: github.com/zyedidia/micro/v2/internal/buffer.Line contains sync.Mutex;;(govet)
internal/shell/job.go;;80;;11;;Error return value of `proc.Run` is not checked;;(errcheck)
internal/shell/job.go;;90;;16;;Error return value of `j.Process.Kill` is not checked;;(errcheck)
internal/shell/job.go;;95;;15;;Error return value of `j.Stdin.Write` is not checked;;(errcheck)
internal/shell/shell.go;;103;;20;;Error return value of `cmd.Process.Kill` is not checked;;(errcheck)
internal/shell/shell.go;;107;;11;;Error return value of `cmd.Start` is not checked;;(errcheck)
internal/shell/terminal.go;;100;;15;;Error return value of `Term.Write` is not checked;;(errcheck)
internal/shell/terminal.go;;145;;27;;Error return value of `(*os.File).WriteString` is not checked;;(errcheck)
internal/screen/message.go;;24;;19;;Error return value of `reader.ReadString` is not checked;;(errcheck)
internal/clipboard/terminal.go;;16;;28;;Error return value of `screen.Screen.GetClipboard` is not checked;;(errcheck)
internal/clipboard/multi.go;;50;;28;;S1019: should use make([]string, ncursors) instead;;(gosimple)
internal/info/gutter.go;;5;;2;;field `lineNum` is unused;;(unused)
internal/info/gutter.go;;6;;2;;field `msg` is unused;;(unused)
internal/info/gutter.go;;7;;2;;field `kind` is unused;;(unused)
internal/action/actions.go;;754;;9;;Error return value of `b.Save` is not checked;;(errcheck)
internal/action/actions.go;;1108;;25;;Error return value of `clipboard.WriteMulti` is not checked;;(errcheck)
internal/action/actions.go;;1477;;13;;Error return value of `h.openHelp` is not checked;;(errcheck)
internal/action/actions.go;;1494;;29;;Error return value of `shell.RunInteractiveShell` is not checked;;(errcheck)
internal/action/bindings.go;;28;;19;;Error return value of `ioutil.WriteFile` is not checked;;(errcheck)
internal/action/bufpane.go;;279;;20;;Error return value of `config.RunPluginFn` is not checked;;(errcheck)
internal/action/bufpane.go;;414;;25;;Error return value of `h.Buf.UpdateModTime` is not checked;;(errcheck)
internal/action/bufpane.go;;416;;18;;Error return value of `h.Buf.ReOpen` is not checked;;(errcheck)
internal/action/bufpane.go;;420;;16;;Error return value of `h.Buf.ReOpen` is not checked;;(errcheck)
internal/action/command.go;;366;;17;;Error return value of `h.Buf.ReOpen` is not checked;;(errcheck)
internal/action/command.go;;396;;13;;Error return value of `h.openHelp` is not checked;;(errcheck)
internal/action/command.go;;488;;26;;Error return value of `config.InitColorscheme` is not checked;;(errcheck)
internal/action/command.go;;519;;14;;Error return value of `pl.Load` is not checked;;(errcheck)
internal/action/command.go;;536;;20;;Error return value of `b.SetOptionNative` is not checked;;(errcheck)
internal/action/command.go;;572;;24;;Error return value of `h.Buf.SetOptionNative` is not checked;;(errcheck)
internal/action/command.go;;746;;15;;Error return value of `h.Buf.SaveAs` is not checked;;(errcheck)
internal/action/termpane.go;;153;;19;;Error return value of `clipboard.Write` is not checked;;(errcheck)
internal/action/infocomplete.go;;80;;6;;func `contains` is unused;;(unused)
