file;;row;;col;;error;;analyzer
pkg/highlight/highlighter.go;;54;;6;;`combineLineMatch` is unused;;(deadcode)
internal/buffer/buffer.go;;33;;7;;`backupTime` is unused;;(deadcode)
internal/action/infocomplete.go;;80;;6;;`contains` is unused;;(deadcode)
cmd/micro/micro.go;;35;;2;;`autosave` is unused;;(deadcode)
internal/screen/screen.go;;90;;2;;declaration has 3 blank identifiers;;(dogsled)
internal/lua/lua.go;;149;;217;;149-215 lines are duplicate of `internal/lua/lua.go:217-283`;;(dupl)
internal/lua/lua.go;;217;;149;;217-283 lines are duplicate of `internal/lua/lua.go:149-215`;;(dupl)
internal/buffer/search.go;;28;;76;;28-44 lines are duplicate of `internal/buffer/search.go:76-92`;;(dupl)
internal/buffer/search.go;;76;;28;;76-92 lines are duplicate of `internal/buffer/search.go:28-44`;;(dupl)
internal/action/actions.go;;980;;1006;;980-1003 lines are duplicate of `internal/action/actions.go:1006-1029`;;(dupl)
internal/action/actions.go;;1006;;980;;1006-1029 lines are duplicate of `internal/action/actions.go:980-1003`;;(dupl)
internal/config/plugin.go;;104;;22;;Error return value is not checked;;(errcheck)
internal/util/util.go;;453;;13;;Error return value of `os.MkdirAll` is not checked;;(errcheck)
internal/util/util.go;;471;;15;;Error return value of `os.MkdirAll` is not checked;;(errcheck)
internal/util/util.go;;473;;15;;Error return value of `os.MkdirAll` is not checked;;(errcheck)
internal/screen/message.go;;24;;19;;Error return value of `reader.ReadString` is not checked;;(errcheck)
internal/screen/screen.go;;135;;7;;Error return value is not checked;;(errcheck)
internal/clipboard/terminal.go;;16;;28;;Error return value of `screen.Screen.GetClipboard` is not checked;;(errcheck)
internal/buffer/backup.go;;43;;13;;Error return value of `b.Backup` is not checked;;(errcheck)
internal/buffer/backup.go;;77;;11;;Error return value of `os.Mkdir` is not checked;;(errcheck)
internal/buffer/buffer.go;;340;;27;;Error return value of `config.InitLocalSettings` is not checked;;(errcheck)
internal/buffer/buffer.go;;378;;18;;Error return value of `b.UpdateModTime` is not checked;;(errcheck)
internal/buffer/buffer.go;;394;;26;;Error return value of `config.InitLocalSettings` is not checked;;(errcheck)
internal/buffer/buffer.go;;397;;11;;Error return value of `os.Mkdir` is not checked;;(errcheck)
internal/buffer/buffer.go;;419;;12;;Error return value is not checked;;(errcheck)
internal/buffer/buffer.go;;459;;14;;Error return value of `b.Serialize` is not checked;;(errcheck)
internal/buffer/buffer_test.go;;23;;27;;Error return value of `config.InitGlobalSettings` is not checked;;(errcheck)
internal/buffer/cursor.go;;135;;24;;Error return value of `clipboard.WriteMulti` is not checked;;(errcheck)
internal/buffer/save.go;;46;;20;;Error return value of `cmd.Process.Kill` is not checked;;(errcheck)
internal/buffer/settings.go;;32;;27;;Error return value of `config.InitLocalSettings` is not checked;;(errcheck)
internal/buffer/settings.go;;63;;14;;Error return value of `pl.Load` is not checked;;(errcheck)
internal/shell/job.go;;80;;11;;Error return value of `proc.Run` is not checked;;(errcheck)
internal/shell/job.go;;90;;16;;Error return value of `j.Process.Kill` is not checked;;(errcheck)
internal/shell/job.go;;95;;15;;Error return value of `j.Stdin.Write` is not checked;;(errcheck)
internal/shell/shell.go;;103;;20;;Error return value of `cmd.Process.Kill` is not checked;;(errcheck)
internal/shell/shell.go;;107;;11;;Error return value of `cmd.Start` is not checked;;(errcheck)
internal/shell/terminal.go;;100;;15;;Error return value of `Term.Write` is not checked;;(errcheck)
internal/shell/terminal.go;;145;;27;;Error return value of `(*os.File).WriteString` is not checked;;(errcheck)
internal/action/actions.go;;754;;9;;Error return value of `b.Save` is not checked;;(errcheck)
internal/action/actions.go;;1108;;25;;Error return value of `clipboard.WriteMulti` is not checked;;(errcheck)
internal/action/actions.go;;1477;;13;;Error return value of `h.openHelp` is not checked;;(errcheck)
internal/action/actions.go;;1494;;29;;Error return value of `shell.RunInteractiveShell` is not checked;;(errcheck)
internal/action/bindings.go;;28;;19;;Error return value of `ioutil.WriteFile` is not checked;;(errcheck)
internal/action/bufpane.go;;279;;20;;Error return value of `config.RunPluginFn` is not checked;;(errcheck)
internal/action/bufpane.go;;414;;25;;Error return value of `h.Buf.UpdateModTime` is not checked;;(errcheck)
internal/action/bufpane.go;;416;;18;;Error return value of `h.Buf.ReOpen` is not checked;;(errcheck)
internal/action/bufpane.go;;420;;16;;Error return value of `h.Buf.ReOpen` is not checked;;(errcheck)
internal/action/command.go;;366;;17;;Error return value of `h.Buf.ReOpen` is not checked;;(errcheck)
internal/action/command.go;;396;;13;;Error return value of `h.openHelp` is not checked;;(errcheck)
internal/action/command.go;;488;;26;;Error return value of `config.InitColorscheme` is not checked;;(errcheck)
internal/action/command.go;;519;;14;;Error return value of `pl.Load` is not checked;;(errcheck)
internal/action/command.go;;536;;20;;Error return value of `b.SetOptionNative` is not checked;;(errcheck)
internal/action/command.go;;572;;24;;Error return value of `h.Buf.SetOptionNative` is not checked;;(errcheck)
internal/action/command.go;;746;;15;;Error return value of `h.Buf.SaveAs` is not checked;;(errcheck)
internal/action/termpane.go;;153;;19;;Error return value of `clipboard.Write` is not checked;;(errcheck)
cmd/micro/clean.go;;42;;22;;Error return value of `config.WriteSettings` is not checked;;(errcheck)
cmd/micro/micro.go;;132;;24;;Error return value of `config.LoadAllPlugins` is not checked;;(errcheck)
cmd/micro/micro.go;;304;;13;;Error return value of `b.Backup` is not checked;;(errcheck)
cmd/micro/micro.go;;423;;10;;Error return value of `b.Save` is not checked;;(errcheck)
cmd/micro/micro_test.go;;59;;13;;Error return value of `b.Backup` is not checked;;(errcheck)
internal/views/splits_test.go;;15;;2;;use of `fmt.Println` forbidden by pattern `^(fmt\.Print(|f|ln)|print|println)$`;;(forbidigo)
internal/lua/lua.go;;98;;39;;use of `fmt.Print` forbidden by pattern `^(fmt\.Print(|f|ln)|print|println)$`;;(forbidigo)
internal/lua/lua.go;;99;;40;;use of `fmt.Printf` forbidden by pattern `^(fmt\.Print(|f|ln)|print|println)$`;;(forbidigo)
internal/lua/lua.go;;100;;41;;use of `fmt.Println` forbidden by pattern `^(fmt\.Print(|f|ln)|print|println)$`;;(forbidigo)
internal/util/util.go;;49;;3;;use of `fmt.Println` forbidden by pattern `^(fmt\.Print(|f|ln)|print|println)$`;;(forbidigo)
internal/screen/message.go;;21;;2;;use of `fmt.Print` forbidden by pattern `^(fmt\.Print(|f|ln)|print|println)$`;;(forbidigo)
internal/screen/message.go;;41;;3;;use of `fmt.Print` forbidden by pattern `^(fmt\.Print(|f|ln)|print|println)$`;;(forbidigo)
cmd/micro/clean.go;;34;;2;;use of `fmt.Printf` forbidden by pattern `^(fmt\.Print(|f|ln)|print|println)$`;;(forbidigo)
cmd/micro/clean.go;;67;;4;;use of `fmt.Printf` forbidden by pattern `^(fmt\.Print(|f|ln)|print|println)$`;;(forbidigo)
pkg/highlight/highlighter.go;;127;;-1;;Function 'highlightRegion' has too many statements (56 > 40);;(funlen)
pkg/highlight/parser.go;;339;;-1;;Function 'parseRegion' is too long (64 > 60);;(funlen)
internal/lua/lua.go;;305;;-1;;Function 'importOs' has too many statements (87 > 40);;(funlen)
internal/lua/lua.go;;450;;-1;;Function 'importStrings' has too many statements (45 > 40);;(funlen)
internal/config/colorscheme.go;;170;;-1;;Function 'StringToColor' has too many statements (41 > 40);;(funlen)
internal/config/plugin_installer.go;;392;;-1;;Function 'DownloadAndInstall' is too long (74 > 60);;(funlen)
internal/config/plugin_installer.go;;640;;-1;;Function 'PluginCommand' has too many statements (41 > 40);;(funlen)
internal/config/rtfiles.go;;162;;-1;;Function 'InitRuntimeFiles' has too many statements (46 > 40);;(funlen)
internal/buffer/buffer.go;;298;;-1;;Function 'NewBuffer' has too many statements (70 > 40);;(funlen)
internal/buffer/buffer.go;;680;;-1;;Function 'UpdateRules' has too many statements (93 > 40);;(funlen)
internal/buffer/buffer.go;;1000;;-1;;Function 'FindMatchingBrace' is too long (64 > 60);;(funlen)
internal/buffer/eventhandler.go;;45;;-1;;Function 'DoTextEvent' is too long (63 > 60);;(funlen)
internal/buffer/line_array.go;;98;;-1;;Function 'NewLineArray' is too long (71 > 60);;(funlen)
internal/buffer/save.go;;109;;-1;;Function 'saveToFile' has too many statements (56 > 40);;(funlen)
internal/buffer/settings.go;;8;;-1;;Function 'SetOptionNative' is too long (75 > 60);;(funlen)
internal/buffer/buffer_test.go;;28;;-1;;Function 'check' is too long (67 > 60);;(funlen)
internal/display/bufwindow.go;;365;;-1;;Function 'displayBuffer' has too many statements (179 > 40);;(funlen)
internal/display/infowindow.go;;98;;-1;;Function 'displayBuffer' has too many statements (51 > 40);;(funlen)
internal/display/infowindow.go;;227;;-1;;Function 'Display' has too many statements (48 > 40);;(funlen)
internal/display/softwrap.go;;70;;-1;;Function 'getVLocFromLoc' has too many statements (45 > 40);;(funlen)
internal/display/softwrap.go;;145;;-1;;Function 'getLocFromVLoc' has too many statements (47 > 40);;(funlen)
internal/display/statusline.go;;103;;-1;;Function 'Display' has too many statements (52 > 40);;(funlen)
internal/display/tabwindow.go;;94;;-1;;Function 'Display' has too many statements (43 > 40);;(funlen)
internal/action/bindings.go;;134;;-1;;Function 'findSingleEvent' is too long (88 > 60);;(funlen)
