error;;desc;;row;;file
DEREF_OF_NULL.EX;;After having been assigned to a nil value at buffer.go:304, pointer '&b.SharedBuffer.Settings' is dereferenced at buffer.go:381.;;381;;micro/internal/buffer/buffer.go
DEREF_OF_NULL.GLOBAL;;Uninitialized data is read from global variable 'github.com/zyedidia/micro/v2/internal/lua.L' at lua.go:34.;;34;;micro/internal/lua/lua.go
DEREF_OF_NULL.GLOBAL;;Uninitialized data is read from global variable 'github.com/zyedidia/micro/v2/internal/buffer.LogBuf' at buffer.go:1421.;;1421;;micro/internal/buffer/buffer.go
DEREF_OF_NULL.RET;;Pointer 'n', returned from function 'views.Node.GetNode' at tab.go:365, may be nil and is dereferenced at tab.go:368.;;368;;micro/internal/action/tab.go
DEREF_OF_NULL.RET;;Pointer 'n', returned from function 'views.Node.GetNode' at termpane.go:114, may be nil and is passed as implicit 'this' parameter in call to function 'views.Node.Unsplit' at termpane.go:115, where it is dereferenced at splits.go:464.;;115;;micro/internal/action/termpane.go
DEREF_OF_NULL.RET;;Pointer 'n', returned from function 'views.Node.GetNode' at actions.go:1691, may be nil and is passed as implicit 'this' parameter in call to function 'views.Node.Unsplit' at actions.go:1692, where it is dereferenced at splits.go:464.;;1692;;micro/internal/action/actions.go
DEREF_OF_NULL.RET;;Pointer 'n', returned from function 'views.Node.GetNode' at bufpane.go:323, may be nil and is passed as implicit 'this' parameter in call to function 'views.Node.ResizeSplit' at bufpane.go:324, where it is dereferenced at splits.go:189.;;324;;micro/internal/action/bufpane.go
DEREF_OF_NULL.RET;;Pointer 'github.com/zyedidia/micro/v2/pkg/highlight.ParseDef(searchFile, nil)', returned from function 'highlight.ParseDef' at parser.go:311, may be nil and is dereferenced at parser.go:312.;;312;;micro/pkg/highlight/parser.go
DEREF_OF_NULL.RET;;Pointer 'github.com/zyedidia/micro/v2/pkg/highlight.ParseDef(searchFile, nil)', returned from function 'highlight.ParseDef' at parser.go:327, may be nil and is dereferenced at parser.go:328.;;328;;micro/pkg/highlight/parser.go
DEREF_OF_NULL.RET;;Pointer '(*github.com/zyedidia/micro/v2/internal/action.Tab).CurPane(github.com/zyedidia/micro/v2/internal/action.MainTab())', returned from function 'action.Tab.CurPane' at command.go:519, may be nil and is dereferenced at command.go:519.;;519;;micro/internal/action/command.go
